//Z_rotation	Y'_rotation	Z''_rotation1	Defocus1	Z''_rotation2	Defocus2
//phi=360.0*rand()	theta=180/PI()*ACOS(2*RAND()-1)	psi=360.0*rand()	dz=5 + 10 * RAND()	psi=360.0*rand()	dz=5 + 10 * RAND()
134.545593	20.8879562	250.2507883	8.222943558	100.118147	5.766113138
328.9524395	68.27488858	343.0435375	14.69256862	155.8774949	13.27846134
341.2124109	58.14192331	259.6780077	9.394382628	159.9422219	7.886505485
196.5382573	35.93093368	155.7524815	10.66208447	132.2968222	10.23461056
259.1734396	92.41853487	191.961092	13.05924461	21.64331534	14.06469824
100.7594369	63.88481208	291.9033034	8.891866815	289.5271391	12.0210506
323.1600184	167.2336091	276.145737	5.124502934	154.6881345	12.70999187
259.7074261	45.77533335	183.20903	12.21241235	302.7163076	6.172852555
207.5392464	68.30142143	199.7200929	9.077328511	238.9836551	11.8385373
171.1598766	89.68242302	92.48191277	6.655790719	347.0470774	11.80187741
60.55292977	25.93491786	211.3969304	7.568231724	226.5960793	5.605451246
48.85497938	31.68942623	256.624174	11.403842	87.85325344	6.75988388
357.5837845	132.619438	349.2236099	11.97751674	289.0335287	13.37860964
162.3045554	79.02550822	257.9751296	9.164385773	326.2744611	7.944083188
266.5438071	119.8127464	208.8295398	7.316264206	198.8033863	5.846068438
347.4672745	43.82225966	170.2100489	8.462136081	257.2294484	6.048567208
145.2327911	76.98433301	67.0364878	6.535885426	274.0424859	12.75791052
270.9031687	23.07291598	30.32253378	12.20435604	173.3199805	8.387582143
79.38908946	114.2189959	319.9021001	6.021668631	218.1313329	8.568204154
53.78109028	65.43253821	244.3667413	13.54587236	163.933403	10.91165601
76.96413911	118.6660545	233.1252559	11.96614009	346.9355939	7.088310464
282.3405427	35.20719195	78.49476033	6.471977545	324.9393816	6.102731039
109.7972434	39.5951007	107.019516	9.215120964	127.4069956	6.322768762
139.9509914	28.48952918	99.82345968	9.821652902	247.1450866	10.63102133
122.8531948	95.69450283	192.9235666	14.50321951	183.3150963	9.019468141
77.81869869	62.70979895	293.1928488	7.400853235	237.5262447	8.437501633
